"country","name","email","address","district","city","revenue"
"Greece","Linda","linda.williams@sakilacustomer.org","692 Joliet Street","West Greece","Patras","204.54"
"Sudan","Johnny","johnny.turpin@sakilacustomer.org","1152 Citrus Heights Manor","Khartum","Omdurman","202.51"
"Azerbaijan","Raymond","raymond.mcwhorter@sakilacustomer.org","503 Sogamoso Loop","Sumqayit","Sumqayit","198.53"
"Bulgaria","Tyrone","tyrone.asher@sakilacustomer.org","191 Jos Azueta Parkway","Ruse","Stara Zagora","194.52"
"Kazakstan","Irene","irene.price@sakilacustomer.org","602 Paarl Street","Qaraghandy","Zhezqazghan","192.51"
"Angola","Martin","martin.bales@sakilacustomer.org","486 Ondo Parkway","Namibe","Namibe","187.55"
"Cameroon","Lawrence","lawrence.lawton@sakilacustomer.org","1641 Changhwa Place","Nord-Ouest","Yaound","186.49"
"Myanmar","Mabel","mabel.holland@sakilacustomer.org","51 Laredo Avenue","Sagaing","Myingyan","179.53"
"Cambodia","Elmer","elmer.noe@sakilacustomer.org","754 Valencia Place","Phnom Penh","Phnom Penh","179.51"
"Bolivia","Jon","jon.wiles@sakilacustomer.org","659 Gatineau Boulevard","La Paz","Sucre","178.56"
"Congo, The Democratic Republic of the","Jesse","jesse.schilling@sakilacustomer.org","514 Ife Way","Shaba","Mwene-Ditu","168.58"
"Oman","Margaret","margaret.moore@sakilacustomer.org","613 Korolev Drive","Zufar","Salala","161.56"
"Holy See (Vatican City State)","Jessica","jessica.hall@sakilacustomer.org","18 Duisburg Boulevard","","Citt del Vaticano","146.68"
"Nauru","Duane","duane.tubbs@sakilacustomer.org","962 Tama Loop","","Yangor","143.70"
"Sweden","Janice","janice.ward@sakilacustomer.org","1150 Kimchon Manor","Skne ln","Malm","139.67"
"Czech Republic","Jennie","jennie.terry@sakilacustomer.org","682 Halisahar Place","Severn Morava","Olomouc","132.72"
"Moldova","Martha","martha.gonzalez@sakilacustomer.org","269 Cam Ranh Parkway","Chisinau","Chisinau","127.66"
"Turkmenistan","Jeanne","jeanne.lawson@sakilacustomer.org","387 Mwene-Ditu Drive","Ahal","Ashgabat","126.74"
"Chad","Javier","javier.elrod@sakilacustomer.org","195 Ilorin Street","Chari-Baguirmi","NDjamna","122.72"
"Malawi","Lynn","lynn.payne@sakilacustomer.org","710 San Felipe del Progreso Avenue","Lilongwe","Lilongwe","121.73"
"Zambia","Barry","barry.lovelace@sakilacustomer.org","1836 Korla Parkway","Copperbelt","Kitwe","121.70"
"Virgin Islands, U.S.","Nathan","nathan.runyon@sakilacustomer.org","264 Bhimavaram Manor","St Thomas","Charlotte Amalie","121.69"
"Greenland","Gertrude","gertrude.castillo@sakilacustomer.org","850 Salala Loop","Kitaa","Nuuk","119.72"
"Armenia","Stephanie","stephanie.mitchell@sakilacustomer.org","42 Brindisi Place","Yerevan","Yerevan","118.75"
"Gambia","Salvador","salvador.teel@sakilacustomer.org","247 Jining Parkway","Banjul","Banjul","114.73"
"Iraq","Daryl","daryl.larue@sakilacustomer.org","1208 Tama Loop","Ninawa","Mosul","111.73"
"Hungary","Terrance","terrance.roush@sakilacustomer.org","42 Fontana Avenue","Fejr","Szkesfehrvr","111.71"
"Bahrain","Seth","seth.hannon@sakilacustomer.org","1759 Niznekamsk Avenue","al-Manama","al-Manama","108.76"
"North Korea","Darlene","darlene.rose@sakilacustomer.org","1386 Nakhon Sawan Boulevard","Pyongyang-si","Pyongyang","107.71"
"Brunei","Lois","lois.butler@sakilacustomer.org","1370 Le Mans Avenue","Brunei and Muara","Bandar Seri Begawan","107.66"
"Kuwait","Claudia","claudia.fuller@sakilacustomer.org","346 Skikda Parkway","Hawalli","Jalib al-Shuyukh","106.75"
"Estonia","Marcus","marcus.hidalgo@sakilacustomer.org","1289 Belm Boulevard","Tartumaa","Tartu","105.72"
"Hong Kong","Violet","violet.rodriquez@sakilacustomer.org","1912 Allende Manor","Kowloon and New Kowl","Kowloon and New Kowloon","104.76"
"Sri Lanka","Manuel","manuel.murrell@sakilacustomer.org","692 Amroha Drive","Northern","Jaffna","103.73"
"Liechtenstein","Evelyn","evelyn.morgan@sakilacustomer.org","943 Tokat Street","Vaduz","Vaduz","99.74"
"Anguilla","Bobby","bobby.boudreau@sakilacustomer.org","1368 Maracabo Boulevard","","South Hill","99.68"
"French Guiana","Rose","rose.howard@sakilacustomer.org","698 Otsu Street","Cayenne","Cayenne","97.80"
"Faroe Islands","Edward","edward.baugh@sakilacustomer.org","1359 Zhoushan Parkway","Streymoyar","Trshavn","96.76"
"Senegal","Ronnie","ronnie.ricketts@sakilacustomer.org","1889 Valparai Way","Ziguinchor","Ziguinchor","95.76"
"Nepal","Kevin","kevin.schuler@sakilacustomer.org","470 Boksburg Street","Central","Birgunj","93.83"
"Tuvalu","Dawn","dawn.sullivan@sakilacustomer.org","454 Nakhon Sawan Boulevard","Funafuti","Funafuti","93.78"
"Madagascar","Andrea","andrea.henderson@sakilacustomer.org","320 Baiyin Parkway","Mahajanga","Mahajanga","92.79"
"Ethiopia","Sean","sean.douglass@sakilacustomer.org","614 Pak Kret Street","Addis Abeba","Addis Abeba","91.77"
"New Zealand","Susan","susan.wilson@sakilacustomer.org","478 Joliet Way","Hamilton","Hamilton","85.77"
"Slovakia","Keith","keith.rico@sakilacustomer.org","482 Kowloon and New Kowloon Manor","Bratislava","Bratislava","80.77"
"Finland","Erika","erika.pena@sakilacustomer.org","898 Jining Lane","Pohjois-Pohjanmaa","Oulu","78.79"
"Tunisia","Gregory","gregory.mauldin@sakilacustomer.org","507 Smolensk Loop","Sousse","Sousse","73.78"
"Afghanistan","Vera","vera.mccoy@sakilacustomer.org","1168 Najafabad Parkway","Kabol","Kabul","67.82"
"Tonga","Henry","henry.billingsley@sakilacustomer.org","1516 Escobar Drive","Tongatapu","Nukualofa","64.84"
"Saint Vincent and the Grenadines","Jose","jose.andrew@sakilacustomer.org","1016 Iwakuni Street","St George","Kingstown","64.82"
"Lithuania","Felix","felix.gaffney@sakilacustomer.org","1059 Yuncheng Avenue","Vilna","Vilnius","63.78"
"American Samoa","Anthony","anthony.schwab@sakilacustomer.org","1892 Nabereznyje Telny Lane","Tutuila","Tafuna","47.85"
